STATIONNAME,STATIONARRONDISSEMENT,LATITUDE,LONGITUDE,STATION_ID
Collège Ahuntsic (St-Hubert / Émile-Journault),Ahuntsic-Cartierville,45.55118940267553,-73.64060204476118,199
Fabre / St-Zotique,Rosemont - La Petite-Patrie,45.543653916207866,-73.60126135876271,200
Jeanne-Mance / Laurier,Le Plateau-Mont-Royal,45.52027633320609,-73.59497621666378,201
Clark / Laurier,Le Plateau-Mont-Royal,45.522550328228355,-73.59350547194481,202
Léonard-de-Vinci / Villeray,Villeray—Saint-Michel—Parc-Extension,45.56581967268723,-73.5998260974884,203
41e avenue / Rosemont,Rosemont - La Petite-Patrie,45.57178977666956,-73.56431499123573,204
de Castelnau / Lajeunesse,Villeray—Saint-Michel—Parc-Extension,45.54043190217008,-73.61650675535202,205
Métro Verdun (Willibrord / de Verdun),Verdun,45.45937359425342,-73.57200354337692,206
St-Antoine / St-François-Xavier,Ville-Marie,45.5045770667804,-73.55918392539024,207
des Pins / Hutchison,Le Plateau-Mont-Royal,45.51077694102021,-73.57825007289647,208
Gilford / St-Denis,Le Plateau-Mont-Royal,45.52497612960628,-73.58558893203735,209
Mozart / Drolet,Rosemont - La Petite-Patrie,45.536325056800145,-73.61286163330078,210
Coloniale / Duluth,Le Plateau-Mont-Royal,45.51786873150825,-73.57842743396758,211
Marie-Anne / de la Roche,Le Plateau-Mont-Royal,45.527550507601894,-73.5762870311737,212
7e avenue / Masson,Rosemont - La Petite-Patrie,45.54863154452348,-73.57469648122787,213
Parc St-Patrick (St-Patrick / St-Columban),Le Sud-Ouest,45.48870785150952,-73.55899317193689,214
de l'Esplanade / Bernard,Le Plateau-Mont-Royal,45.52507719260653,-73.60463630408049,215
Waverly / St-Viateur,Le Plateau-Mont-Royal,45.5238561444472,-73.60012650489807,216
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53080495407925,-73.59839648008347,217
Métro Champ-de-Mars (Hôtel-de-Ville / Viger),Ville-Marie,45.50956143036354,-73.55743234369584,218
de Bordeaux / Rachel,Le Plateau-Mont-Royal,45.53207532297607,-73.56769983980485,219
St-Dominique / Rachel,Le Plateau-Mont-Royal,45.51861160491394,-73.58156056457119,220
1ère avenue / Jean-Talon,Villeray—Saint-Michel—Parc-Extension,45.55490679722509,-73.60114574432373,221
Letourneux / Hochelaga,Mercier - Hochelaga-Maisonneuve,45.55465888075087,-73.54660302400589,222
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.471703687608354,-73.58268946409225,223
Métro Bonaventure (de la Gauchetière / Mansfield),Ville-Marie,45.49884749025835,-73.56685843325977,224
St-Zotique / Clark,Rosemont - La Petite-Patrie,45.53143760098197,-73.61270070075989,225
Cartier / Bélanger,Rosemont - La Petite-Patrie,45.546779039476185,-73.60281676054001,226
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,45.53226461018495,-73.6110632121563,227
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,45.52649960463402,-73.59812762595539,228
Boyer / Rosemont,Rosemont - La Petite-Patrie,45.53409866804061,-73.59553456306458,229
Cartier / Masson,Le Plateau-Mont-Royal,45.5380207402854,-73.58352363109587,230
Bourbonnière / du Mont-Royal,Rosemont - La Petite-Patrie,45.55358456339093,-73.56052905321121,231
McKenna / Édouard-Montpetit,Côte-des-Neiges - Notre-Dame-de-Grâce,45.50116436275711,-73.62056359648705,232
Ste-Catherine / Dézéry,Mercier - Hochelaga-Maisonneuve,45.53938508196168,-73.54099988937377,233
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,45.527672646696104,-73.59738260507582,234
Charles-Biddle / Atwater,Le Sud-Ouest,45.47913738100108,-73.57514977455139,235
Métro Plamondon (de Kent / Victoria),Côte-des-Neiges - Notre-Dame-de-Grâce,45.494686752797904,-73.63871866467889,236
Ste-Catherine / de Bullion,Ville-Marie,45.51113072062821,-73.56280624866486,237
Crescent / René-Lévesque,Ville-Marie,45.49603187552495,-73.5734586417675,238
Clark / Prince-Arthur,Le Plateau-Mont-Royal,45.513342512307055,-73.57301607728004,239
Ste-Famille / des Pins,Le Plateau-Mont-Royal,45.512856179335664,-73.57692807912827,240
Berri / Cherrier,Le Plateau-Mont-Royal,45.519266156911335,-73.5692971944809,241
Lanaudière / Bélanger,Rosemont - La Petite-Patrie,45.54365085053057,-73.60565051436424,242
